Accession.no.;tbHomologue;geneName;X;dragsetCall;IreneCall;geckoCall;bagelCall;griffinCall;sassettiCall;deJesusCall;bestGuideRatio;bestGuide;gbAnnotation;X.1;X.2;X.3;Position;X.5;Name;Function;Product;TU (Nanopore RNA-Seq);Position
MSMEG_0880;Rv0440;groEL;01 F11;ES;ES;ES;ES;ES;ES;ES;-7.749668341;MSMEG_0880_2;chaperonin GroEL; Reviewed; Region: groEL; PRK00013;Only Gene;;groEL2;Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions.;60 kDa chaperonin 2 GroEL2 (protein CPN60-2) (GroEL protein 2) (65 kDa antigen) (heat shock protein 65) (cell wall protein A) (antigen A);0880-;Only Gene
MSMEG_0903;Rv0462;lpdA;02 E9;ES;GD;ES;ES;ES;ES;GD;-6.762815213;MSMEG_0903_3;dihydrolipoamide dehydrogenase; Reviewed; Region: PRK07818;;First Gene;;lpdC;"Involved in energy metabolism. Lipoamide dehydrogenase is the E3 component of pyruvate dehydrogenase and the alpha-ketoacid dehydrogenase complex [catalytic activity: dihydrolipoamide + NAD(+) = lipoamide + NADH]. Also involved in antioxidant defense; LPDC|Rv0462, DLAT|Rv2215, AHPD|Rv2429, and AHPC|Rv2428 constitute an NADH-dependent peroxidase and peroxynitrite reductase that provides protection against oxidative stress.";Dihydrolipoamide dehydrogenase LpdC (lipoamide reductase (NADH)) (lipoyl dehydrogenase) (dihydrolipoyl dehydrogenase) (diaphorase);0904-0903;First Gene
MSMEG_0928;Rv0482;murB;03 D2;ES;ES;ES;ES;ES;NE;ES;-5.799532445;MSMEG_0928_2;UDP-N-acetylenolpyruvoylglucosamine reductase; Provisional; Region: murB; PRK13903;Only Gene;;murB;"Involved in cell wall formation; peptidoglycan biosynthesis [catalytic activity: UDP-N-acetylmuramate + NADP+ = UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine + NADPH].";Probable UDP-N-acetylenolpyruvoylglucosamine reductase MurB (UDP-N-acetylmuramate dehydrogenase);0928-;Only Gene
MSMEG_0949;Rv0505c;-;03 G6;ES;NE;NE;ES;ES;NE;NE;-4.823878927;MSMEG_0949_1;Haloacid Dehalogenase-like Hydrolases; Region: HAD_like; cl21460;;Only Gene;;serB1;Removes a phosphate from phosphoserine [catalytic activity: phosphoserine + H2O = serine + phosphate].;Possible phosphoserine phosphatase SerB1 (PSP) (O-phosphoserine phosphohydrolase) (pspase);0949-;Only Gene
MSMEG_0952;Rv0509;hemA;01 A9;ES;ES;ES;ES;ES;ES;ES;-8.15010267;MSMEG_0952_1;glutamyl-tRNA reductase; Region: hemA; TIGR01035;;First Gene;;hemA;Involved in porphyrin biosynthesis by the C5 pathway (at the first step) [catalytic activity: glutamyl-tRNA(GLU) + NADPH = glutamate-1-semialdehyde + NADP+ + tRNA(GLU)].;Probable glutamyl-tRNA reductase HemA (GLUTR);0952-0953;First Gene
MSMEG_0953;Rv0510;hemC;02 G12;ES;ES;ES;ES;ES;ES;ES;-6.176104437;MSMEG_0953_2;porphobilinogen deaminase; Reviewed; Region: hemC; PRK00072;Last Gene;;hemC;Involved in porphyrin biosynthesis by the C5 pathway (at the fourth step). Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane preuroporphyrinogen in several discrete steps [catalytic activity: 4 porphobilinogen + H2O = hydroxymethylbilane + 4 NH3].;Probable porphobilinogen deaminase HemC (PBG) (hydroxymethylbilane synthase) (HMBS) (pre-uroporphyrinogen synthase);0952-0953;Last Gene
MSMEG_0954;Rv0511;hemD;01 F6;ES;ES;ES;ES;ES;ES;GD;-8.423578171;MSMEG_0954_1;Uroporphyrinogen-III synthase [Coenzyme transport and metabolism]; Region: HemD; COG1587;;Middle Gene;;hemD;Possibly involved in the biosynthesis of siroheme and cobalamin [catalytic activity: 2 S-adenosyl-L-methionine + uroporphyrin III = 2 S-adenosyl-L-homocysteine + sirohydrochlorin].;Probable uroporphyrin-III C-methyltransferase HemD (uroporphyrinogen III methylase) (urogen III methylase) (SUMT) (urogen III methylase) (UROM);0953-0954-0956;Middle Gene
MSMEG_0956;Rv0512;hemB;02 G9;ES;ES;NE;ES;ES;NA;ES;-6.698357406;MSMEG_0956_1;delta-aminolevulinic acid dehydratase; Validated; Region: PRK09283;;Last Gene;;hemB;Involved in porphyrin and heme biosynthesis (at the second step) [catalytic activity: 2 5-aminolevulinate = porphobilinogen + 2 H2O].;Probable delta-aminolevulinic acid dehydratase HemB (porphobilinogen synthase) (ALAD) (ALADH);0953-0954-0956;Last Gene
MSMEG_0969;Rv0524;hemL;02 G5;GD;ES;ES;ES;ES;ES;ES;-7.218393711;MSMEG_0969_2;glutamate-1-semialdehyde aminotransferase; Provisional; Region: PRK00062;;First Gene;;hemL;Involved in porphyrin biosynthesis by the C5 pathway (at the second step) [catalytic activity: (S)-4-amino-5-oxopentanoate = 5-aminolevulinate].;Probable glutamate-1-semialdehyde 2,1-aminomutase HemL (GSA) (glutamate-1-semialdehyde aminotransferase) (GSA-at);0969-0970-0971-0972-0973;First Gene
MSMEG_0971;Rv0526;-;04 D1;GD;ES;ES;ES;ES;ES;ES;-2.533099543;MSMEG_0971_1;TlpA-like family; composed of TlpA, ResA, DsbE and similar proteins. TlpA, ResA and DsbE are bacterial protein disulfide reductases with important roles in cytochrome maturation. They are membrane-anchored proteins with a soluble TRX domain containing a...; Region: TlpA_like_family; cd02966;Middle Gene;;Rv0526;Possibly acts on thioredoxin;Possible thioredoxin protein (thiol-disulfide interchange protein);0969-0970-0971-0972-0973;Middle Gene
MSMEG_0972;Rv0527;-;03 E12;GD;NE;ES;ES;NE;ES;ES;-2.840903892;MSMEG_0972_2;Cytochrome c biogenesis protein CcdA [Energy production and conversion, Posttranslational modification, protein turnover, chaperones]; Region: CcdA; COG0785;;Middle Gene;;ccdA;Possibly involved in cytochrome C synthesis. Might transfer reducing equivalents across the cytoplasmic membrane, promoting efficient disulfide bond isomerization of proteins localized on the outer surface of the membrane.;Possible cytochrome C-type biogenesis protein CcdA;0969-0970-0971-0972-0973;Middle Gene
MSMEG_0973;Rv0528;-;03 B12;GD;NE;ES;ES;ES;ES;ES;-3.014846717;MSMEG_0973_2;Cytochrome c biogenesis protein ResB [Energy production and conversion, Posttranslational modification, protein turnover, chaperones]; Region: ResB; COG1333;;Last Gene;;Rv0528;Unknown;Probable conserved transmembrane protein;0969-0970-0971-0972-0973;Last Gene
MSMEG_0974;Rv0529;ccsB;03 G11;GD;NE;ES;ES;ES;ES;ES;-3.064048287;MSMEG_0974_4;cytochrome c-type biogenesis protein CcsB; Region: cytochr_II_ccsB; TIGR03144;;First Gene;;ccsA;Required during cytochrome biogenesis at the step of heme attachment.;Possible cytochrome C-type biogenesis protein CcsA;0974-0975;First Gene
MSMEG_0988;Rv0534c;menA;03 C4;ES;NE;ES;ES;ES;NE;ES;-5.45277365;MSMEG_0988_5;1,4-dihydroxy-2-naphthoate octaprenyltransferase; Region: menA; TIGR00751;;Only Gene;;menA;Involved in menaquinone biosynthesis. Conversion of 1,4-dihydroxy-2-naphthoate (DHNA) to dimethylmenaquinone (DMK). Attaches octaprenylpyrophosphate, a membrane-bound 40-carbon side chain to DHNA. The conversion of DHNA to DMK proceeds in three stages: the removal of the carboxyl group of DHNA as CO2, the attachment of the isoprenoid side chain, and a quinol-to-quinone oxidation, which is thought to be spontaneous.;1,4-dihydroxy-2-naphthoate octaprenyltransferase MenA (DHNA-octaprenyltransferase);0988-;Only Gene
MSMEG_1075;Rv0548c;menB;03 A6;ES;NE;ES;ES;ES;NE;ES;-5.010303702;MSMEG_1075_1;naphthoate synthase; Validated; Region: PRK08321;;First Gene;;menB;Involved in menaquinone biosynthesis. Convert O-succinylbenzoyl-CoA (OSB-CoA) to 1,4-dihydroxy-2-naphthoic acid (DHNA) [catalytic activity: O-succinylbenzoyl-CoA = 1,4-dihydroxy-2-naphthoate + CoA].;Naphthoate synthase MenB (dihydroxynaphthoic acid synthetase) (DHNA synthetase);1075-1073;First Gene
MSMEG_1109;Rv0555;-;02 H12;ES;GD;ES;ES;ES;ES;ES;-6.16274582;MSMEG_1109_1;2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1- carboxylate synthase; Validated; Region: PRK07449;;Middle Gene;;menD;Involved in menaquinone biosynthesis (at the first step) [catalytic activity 1: isochorismate + 2-ketoglutarate = 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate + pyruvate + CO(2)] [catalytic activity 2: 2-oxoglutarate = succinate semialdehyde + CO(2)].;Probable bifunctional menaquinone biosynthesis protein MenD : 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) + 2-oxoglutarate decarboxylase (alpha- ketoglutarate decarboxylase) (KDC);1108-1109-1110;Middle Gene
MSMEG_1115;Rv0558;ubiE;03 B8;ES;NE;ES;ES;ES;ES;ES;-4.35546542;MSMEG_1115_2;ubiquinone/menaquinone biosynthesis methyltransferase; Reviewed; Region: ubiE; PRK00216;Only Gene;;menH;Involved in menaquinone biosynthesis (at the last step) converts DMKH2 into MKH2 [catalytic activity: S-adenosyl-L-methionine + demethylmenaquinol = S-adenosyl-L-homocysteine + menaquinol].;Probable ubiquinone/menaquinone biosynthesis methyltransferase MenH (2-heptaprenyl-1,4-naphthoquinone methyltransferase);1115-;Only Gene
MSMEG_1133;Rv0989c;-;02 F9;ES;ES;ES;ES;NE;NE;NE;-6.742275748;MSMEG_1133_5;Geranylgeranyl pyrophosphate synthase [Coenzyme transport and metabolism]; Region: IspA; COG0142;;First Gene;;grcC2;Possible supplier of polyprenyl diphosphate.;Probable polyprenyl-diphosphate synthase GrcC2 (polyprenyl pyrophosphate synthetase);1133-1134;First Gene
MSMEG_1344;Rv0638;secE;01 F1;GD;GD;ES;ES;ES;ES;ES;-9.124224727;MSMEG_1344_3;preprotein translocase subunit SecE; Reviewed; Region: secE; PRK07597;First Gene;;secE1;Essential for protein export.;Probable preprotein translocase SecE1;1344-1345;First Gene
MSMEG_1345;Rv0639;nusG;01 C12;GD;GD;ES;ES;ES;NA;ES;-7.721851109;MSMEG_1345_2;transcription antitermination protein NusG; Validated; Region: nusG; PRK05609;Last Gene;;nusG;Influences transcription termination and antitermination. Acts as a component of the transcription complex, and interacts with the termination factor rho and RNA polymerase.;Probable transcription antitermination protein NusG;1344-1345;Last Gene
MSMEG_1346;Rv0640;rplK;02 G8;GD;GD;ES;ES;ES;ES;NE;-6.829066503;MSMEG_1346_2;50S ribosomal protein L11; Validated; Region: rplK; PRK00140;First Gene;;rplK;This protein binds directly to 23S ribosomal RNA.;50S ribosomal protein L11 RplK;1146-1147;First Gene
MSMEG_1347;Rv0641;rplA;03 C5;GD;GD;ES;ES;ES;NE;ES;-5.266939527;MSMEG_1347_2;50S ribosomal protein L1; Validated; Region: rplA; PRK05424;Last Gene;;rplA;This protein binds directly to 23S ribosomal RNA and is located in the neighborhood of the site where elongation factor TU is bound to the ribosome.;50S ribosomal protein L1 RplA;1146-1147;Last Gene
MSMEG_1367;Rv0667;rpoB;02 H1;ES;ES;ES;ES;ES;ES;ES;-7.66013855;MSMEG_1367_1;DNA-directed RNA polymerase subunit beta; Reviewed; Region: rpoB; PRK00405;Only Gene;;rpoB;Catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates [catalytic activity: N nucleoside triphosphate = N diphosphate + {RNA}(N)].;DNA-directed RNA polymerase (beta chain) RpoB (transcriptase beta chain) (RNA polymerase beta subunit);1367;Only Gene
MSMEG_1368;Rv0668;rpoC;01 A5;ES;ES;ES;ES;ES;ES;ES;-8.528102429;MSMEG_1368_1;DNA-directed RNA polymerase subunit beta'; Provisional; Region: PRK00566;;Only Gene;;rpoC;Catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates [catalytic activity: N nucleoside triphosphate = N diphosphate + {RNA}(N)].;DNA-directed RNA polymerase (beta' chain) RpoC (transcriptase beta' chain) (RNA polymerase beta' subunit).;1368;Only Gene
MSMEG_1398;Rv0682;rpsL;03 D3;ES;ES;ES;ES;ES;ES;ES;-5.637986925;MSMEG_1398_4;30S ribosomal protein S12; Validated; Region: rpsL; PRK05163;First Gene;;rpsL;Protein S12 is involved in the translation initiation step.;30S ribosomal protein S12 RpsL;1398-1399-1400-1401;First Gene
MSMEG_1399;Rv0683;rpsG;01 G7;ES;ES;ES;ES;NE;ES;ES;-8.267676241;MSMEG_1399_2;30S ribosomal protein S7; Validated; Region: PRK05302;;Middle Gene;;rpsG;Protein S7 binds specifically to part of the 3' end of 16S ribosomal RNA.;30S ribosomal protein S7 RpsG;1398-1399-1400-1401;Middle Gene
MSMEG_1401;Rv0685;tuf;02 H6;GD;ES;ES;ES;ES;ES;ES;-7.152386258;MSMEG_1401_5;elongation factor Tu; Reviewed; Region: PRK00049;;Last Gene;;tuf;This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis.;Probable iron-regulated elongation factor TU Tuf (EF-TU);1398-1399-1400-1401;Last Gene
MSMEG_1436;Rv0701;rplC;01 B2;ES;ES;ES;ES;ES;ES;ES;-9.074997725;MSMEG_1436_1;50S ribosomal protein L3; Validated; Region: rplC; PRK00001;Middle Gene;;rplC;This protein binds directly to 23S ribosomal RNA and may participate in the formation of the peptidyltransferase center of the ribosome.;50S ribosomal protein L3 RplC;1435-1436-1437-1438-1439-1440-1441-1442-1443-1444-1445;Middle Gene
MSMEG_1437;Rv0702;rplD;01 H10;ES;ES;NE;ES;ES;ES;ES;-7.896816753;MSMEG_1437_5;50S ribosomal protein L4; Provisional; Region: rplD; PRK05319;Middle Gene;;rplD;This protein binds directly and specifically to 23S rRNA.;50S ribosomal protein L4 RplD;1435-1436-1437-1438-1439-1440-1441-1442-1443-1444-1445;Middle Gene
MSMEG_1438;Rv0703;rplW;02 B9;ES;ES;NE;ES;NE;ES;ES;-6.810828662;MSMEG_1438_1;50S ribosomal protein L23; Reviewed; Region: rplW; PRK05738;Middle Gene;;rplW;Binds to a specific region on the 23S rRNA.;50S ribosomal protein L23 RplW;1435-1436-1437-1438-1439-1440-1441-1442-1443-1444-1445;Middle Gene
MSMEG_1439;Rv0704;rplB;01 C2;ES;ES;ES;ES;ES;ES;ES;-9.064203842;MSMEG_1439_3;50S ribosomal protein L2; Validated; Region: rplB; PRK09374;Middle Gene;;rplB;This protein is a primary 23S rRNA-binding protein. It has peptidyltransferase activity.;50S ribosomal protein L2 RplB;1435-1436-1437-1438-1439-1440-1441-1442-1443-1444-1445;Middle Gene
MSMEG_1440;Rv0705;rpsS;01 A12;ES;ES;ES;ES;NE;ES;ES;-7.737446921;MSMEG_1440_3;30S ribosomal protein S19; Reviewed; Region: rpsS; PRK00357;Middle Gene;;rpsS;Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA.;30S ribosomal protein S19 RpsS;1435-1436-1437-1438-1439-1440-1441-1442-1443-1444-1445;Middle Gene
MSMEG_1441;Rv0706;-;03 F1;ES;ES;ES;ES;ES;ES;ES;-5.977005098;MSMEG_1441_4;50S ribosomal protein L22; Reviewed; Region: rplV; PRK00565;Middle Gene;;rplV;"This protein binds specifically to 23S rRNA; its binding is stimulated by other ribosomal proteins, E.G., L4, L17, and L20. It is important during the early stages of 50S reconstitution.";50S ribosomal protein L22 RplV;1435-1436-1437-1438-1439-1440-1441-1442-1443-1444-1445;Middle Gene
MSMEG_1442;Rv0707;rpsC;02 A1;ES;ES;ES;ES;ES;ES;ES;-7.6883902;MSMEG_1442_3;30S ribosomal protein S3; Reviewed; Region: rpsC; PRK00310;Middle Gene;;rpsC;This protein is involved in the binding of initiator met-tRNA.;30S ribosomal protein S3 RpsC;1435-1436-1437-1438-1439-1440-1441-1442-1443-1444-1445;Middle Gene
MSMEG_1443;Rv0708;rplP;03 F9;ES;ES;ES;ES;ES;ES;ES;-3.96715197;MSMEG_1443_2;50S ribosomal protein L16; Reviewed; Region: rplP; PRK09203;Middle Gene;;rplP;This protein binds directly to 23S ribosomal RNA and is located at the a site of the peptidyltransferase center.;50S ribosomal protein L16 RplP;1435-1436-1437-1438-1439-1440-1441-1442-1443-1444-1445;Middle Gene
MSMEG_1444;Rv0709;rpmC;03 A1;ES;ES;ES;ES;NE;ES;GD;-6.145921959;MSMEG_1444_3;50S ribosomal protein L29; Reviewed; Region: PRK00306;;Middle Gene;;rpmC;Involved in translation mechanisms.;50S ribosomal protein L29 RpmC;1435-1436-1437-1438-1439-1440-1441-1442-1443-1444-1445;Middle Gene
MSMEG_1445;Rv0710;-;03 C11;ES;ES;ES;ES;ES;ES;ES;-3.234995068;MSMEG_1445_1;30S ribosomal protein S17; Reviewed; Region: rpsQ; PRK05610;Last Gene;;rpsQ;Protein S17 binds specifically to the 5' end of 16S ribosomal RNA.;30S ribosomal protein S17 RpsQ;1435-1436-1437-1438-1439-1440-1441-1442-1443-1444-1445;Last Gene
MSMEG_1465;Rv0714;rplN;01 H5;ES;GD;ES;ES;NE;ES;ES;-8.459964334;MSMEG_1465_1;50S ribosomal protein L14; Validated; Region: rplN; PRK05483;First Gene;;rplN;This protein binds directly to 23S ribosomal RNA.;50S ribosomal protein L14 RplN;1465-1466-1467-1468-1469-1470-1471-1472-1473-1474;First Gene
MSMEG_1466;Rv0715;rplX;02 A12;ES;GD;NE;ES;NE;ES;ES;-6.343050048;MSMEG_1466_1;50S ribosomal protein L24; Reviewed; Region: rplX; PRK00004;Middle Gene;;rplX;This protein is found in the ribonucleoprotein core and is involved in the early assembly of the 50S subunit. It is not involved in the functions of the mature 50S subunit.;50S ribosomal protein L24 RplX;1465-1466-1467-1468-1469-1470-1471-1472-1473-1474;Middle Gene
MSMEG_1467;Rv0716;rplE;02 F11;ES;GD;ES;ES;NE;ES;ES;-6.413610739;MSMEG_1467_2;50S ribosomal protein L5; Validated; Region: rplE; PRK00010;Middle Gene;;rplE;This is one of 3 proteins that mediate the attachment of the 5S RNA into the large ribosomal subunit.;50S ribosomal protein L5 RplE;1465-1466-1467-1468-1469-1470-1471-1472-1473-1474;Middle Gene
MSMEG_1469;Rv0718;rpsH;02 D6;ES;GD;ES;ES;ES;ES;ES;-7.165510018;MSMEG_1469_1;30S ribosomal protein S8; Validated; Region: rpsH; PRK00136;Middle Gene;;rpsH;Binds directly to the central domain of 16S ribosomal RNA.;30S ribosomal protein S8 RpsH;1465-1466-1467-1468-1469-1470-1471-1472-1473-1474;Middle Gene
MSMEG_1470;Rv0719;rplF;01 F2;ES;ES;ES;ES;ES;ES;ES;-9.030694721;MSMEG_1470_5;50S ribosomal protein L6; Validated; Region: rplF; PRK05498;Middle Gene;;rplF;This protein binds directly to 23S ribosomal RNA and is located at the aminoacyl-tRNA binding site of the peptidyltransferase center.;50S ribosomal protein L6 RplF;1465-1466-1467-1468-1469-1470-1471-1472-1473-1474;Middle Gene
MSMEG_1471;Rv0720;rplR;01 C9;ES;ES;NE;ES;NE;ES;ES;-8.141391916;MSMEG_1471_2;50S ribosomal protein L18; Reviewed; Region: rplR; PRK05593;Middle Gene;;rplR;This is one of 3 proteins that mediate the attachment of the 5S RNA into the large ribosomal subunit.;50S ribosomal protein L18 RplR;1465-1466-1467-1468-1469-1470-1471-1472-1473-1474;Middle Gene
MSMEG_1472;Rv0721;rpsE;02 B5;ES;ES;ES;ES;ES;ES;ES;-7.282981332;MSMEG_1472_1;30S ribosomal protein S5; Validated; Region: rpsE; PRK00550;Middle Gene;;rpsE;Protein S5 is important in the assembly and function of the 30S ribosomal subunit.;30S ribosomal protein S5 RpsE;1465-1466-1467-1468-1469-1470-1471-1472-1473-1474;Middle Gene
MSMEG_1474;Rv0723;rplO;01 D10;ES;ES;ES;ES;NE;NE;Uncertain;-7.991521846;MSMEG_1474_3;50S ribosomal protein L15; Reviewed; Region: rplO; PRK05592;Last Gene;;rplO;This protein binds directly to 23S ribosomal RNA.;50S ribosomal protein L15 RplO;1465-1466-1467-1468-1469-1470-1471-1472-1473-1474;Last Gene
MSMEG_1483;Rv0732;secY;02 C12;ES;ES;ES;ES;ES;ES;ES;-6.301002256;MSMEG_1483_5;preprotein translocase subunit SecY; Reviewed; Region: secY; PRK09204;First Gene;;secY;Essential for protein export. Interacts with SECA|Rv3240c and SECE|Rv0638 to allow the translocation of proteins across the plasma membrane, by forming part of a channel.;Probable preprotein translocase SecY;1483-1484-1485-1486-1487;First Gene
MSMEG_1512;Rv3464;rfbB;03 C9;ES;ES;ES;ES;ES;ES;ES;-4.004868642;MSMEG_1512_3;dTDP-D-glucose 4,6-dehydratase [Cell wall/membrane/envelope biogenesis]; Region: RfbB; COG1088;;First Gene;;rmlB;Involved in dTDP-L-rhamnose biosynthesis [catalytic activity: dTDP-glucose = dTDP-4-dehydro-6-deoxy-D-glucose + H(2)O].;dTDP-glucose 4,6-dehydratase RmlB;1512-1510;First Gene
MSMEG_1519;Rv3462c;infA;03 D8;GD;NE;ES;ES;ES;ES;GD;-4.252714877;MSMEG_1519_2;translation initiation factor IF-1; Validated; Region: infA; PRK00276;First Gene;;infA;"No specific function has so far been attributed to this initiation factor; however, it seems to stimulate more or less all the activities of the other two initiation factors, if-2 and if-3.";Probable translation initiation factor if-1 InfA;1519-1520-1521-1522-1523-1524-1525;First Gene
MSMEG_1521;Rv3460c;rpsM;03 B2;GD;GD;ES;ES;ES;NA;ES;-5.821888755;MSMEG_1521_1;30S ribosomal protein S13; Validated; Region: rpsM; PRK05179;Middle Gene;;rpsM;Involved in the binding of fMet-tRNA and, hence, in the initiation of translation.;30S ribosomal protein S13 RpsM;1519-1520-1521-1522-1523-1524-1525;Middle Gene
MSMEG_1522;Rv3459c;rpsK;02 E3;GD;GD;ES;ES;NE;ES;Uncertain;-7.446511667;MSMEG_1522_1;30S ribosomal protein S11; Validated; Region: PRK05309;;Middle Gene;;rpsK;S11 plays an essential role for the selection of the correct tRNA in protein biosynthesis. It is located on the large lobe of the small subunit.;30S ribosomal protein S11 RpsK;1519-1520-1521-1522-1523-1524-1525;Middle Gene
MSMEG_1523;Rv3458c;rpsD;02 F1;GD;GD;ES;ES;ES;ES;ES;-7.664960273;MSMEG_1523_4;30S ribosomal protein S4; Validated; Region: rpsD; PRK05327;Middle Gene;;rpsD;This protein binds directly to 16S ribosomal RNA.;30S ribosomal protein S4 RpsD;1519-1520-1521-1522-1523-1524-1525;Middle Gene
